source_uuid,source_label,target_uuid,target_label,relation,weight
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,8ed30313-dab5-521d-a41f-4252fb51fc7f,文章,科普阅读,0.95
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,e5da52f9-b4e2-549c-b32a-1943d53bee21,校园政策,依据政策,0.9
a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d,校园事件,00b40943-4c97-5fda-8cff-5c478d061786,心理问题,诱导场景,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,13190eb6-dab1-5777-ade2-86048f69e109,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,fe557ecc-3b52-5977-80e6-9c613b93900d,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,3ecd66a8-d0bf-5849-8ab3-d6425e6293a4,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,33e80cdd-b36f-5e69-b6dd-e74c766b730d,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,5e0ced7f-ecf3-54cc-977a-b9cd58038887,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,4e8190d4-f1f6-5a5f-9b1e-8df899bfdb4a,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,aff80ef7-7597-5ee0-a3c2-bd6d57f19340,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,dd2f5a88-de05-534f-b8da-f0b272eb3568,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,f93bc846-3535-54c7-849a-2e4617078e67,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,de90df2a-1856-5b47-843e-379910e3f6d5,症状,临床症状,0.8
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,11da9fb5-7c16-51b5-8a62-2ffb59bb593e,应对技巧,推荐干预,0.9
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,19cf330b-1855-535e-8b14-ee5b43f48598,应对技巧,推荐干预,0.9
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,fdbc4ffb-31e6-534d-b263-1fc6be4616e6,应对技巧,推荐干预,0.9
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,516089da-4816-579b-817a-3d6d384b3419,应对技巧,推荐干预,0.9
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,556bb2f5-aebe-5eb6-96f8-f8c946d5194b,应对技巧,推荐干预,0.9
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,f2c3dcc4-9193-5af8-902d-7920ce8a6865,应对技巧,推荐干预,0.9
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,08fa0d1c-4626-50c3-9d19-cfc966a6fed7,文章,科普阅读,0.95
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,0d7aa52f-128d-40d3-9ffc-01018a231190,文章,科普阅读,0.95
dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,d001ef3f-be47-5588-b960-ccef89e1e4e6,校园政策,依据政策,0.9
a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d,校园事件,dc191724-3fd2-5251-80da-acbc2fe96a9d,心理问题,诱导场景,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,b15d793d-348b-5c53-b532-c9c6e00b4192,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,4c7d9d65-dbe0-54d7-a0ad-bb1e00605c64,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,e9068249-6424-5d8d-8df1-73fcf9c910bc,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,f739c197-a8c3-5370-8797-85888ce804f6,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,7930a392-b014-5ab5-a2fb-33d272459783,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,3996225e-acfa-5c2b-b8f2-169eebad202a,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,09409014-4343-5a9d-a650-3146ceea6e3e,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,4f716d82-919e-5d16-8618-53123eaee566,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,d38ac0dc-3afa-5fa5-969a-38e64754605e,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,a48e4c09-afb9-59f2-a6b8-cc3121182b33,症状,临床症状,0.8
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,19cf330b-1855-535e-8b14-ee5b43f48598,应对技巧,推荐干预,0.9
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,f2c3dcc4-9193-5af8-902d-7920ce8a6865,应对技巧,推荐干预,0.9
d5acaa56-4a2b-55d2-a3a8-f59539284cf2,心理问题,fdbc4ffb-31e6-534d-b263-1fc6be4616e6,应对技巧,推荐干预,0.9
